player_name,player_key,gender,birth_year,age_group,age_group_code,program,playing_up
Imre Bramzamont,imre bramzamont,m,2019,7,U07B,Junior,
Yorick Marfedge,yorick marfedge,m,2017,9,U09B,,
Ulf Hesboley,ulf hesboley,f,2019,8,U08G,Junior,
Gilda Ashhefield,gilda ashhefield,f,2017,9,U09G,,yes
Thora Dancovale,thora dancovale,m,2013,13,U14B,Select,
Garrick Ashheley,garrick ashheley,f,2022,5,U05G,Micro,
Juno Wyndavale,juno wyndavale,m,2017,10,U10B,,
Sable Corfemere,sable corfemere,m,2014,13,U14B,Select,
Thora Ulgaden,thora ulgaden,m,2020,6,U06B,Micro,
Ilse Norbostone,ilse norbostone,m,2018,9,U09B,,
Nerys Pencoworth,nerys pencoworth,m,2020,7,U07B,Junior,
Edda Gilneham,edda gilneham,m,2017,9,U09B,,
Xara Cormethorn,xara cormethorn,m,2022,5,U05B,Micro,
Yorick Irmestone,yorick irmestone,f,2014,13,U14G,Select,
Kova Bredamere,kova bredamere,m,2011,15,U16B,Select,
Ulf Zelbavale,ulf zelbavale,m,2018,9,U09B,,
Ulf Versegrove,ulf versegrove,m,2018,9,U09B,,
Hale Selnemont,hale selnemont,f,2021,5,U05G,Micro,
Xara Jescevale,xara jescevale,m,2017,10,U10B,,
Emrys Penseby,emrys penseby,m,2021,6,U06B,Micro,
Zeda Wynmefield,zeda wynmefield,m,2013,14,U14B,Select,
Thora Alboham,thora alboham,f,2019,7,U07G,Junior,
Prue Ovdomont,prue ovdomont,f,2021,5,U05G,Micro,
Pell Irdadge,pell irdadge,m,2019,8,U08B,Junior,
Faron Torvegrove,faron torvegrove,m,2013,13,U14B,Select,
Elsbet Yardafield,elsbet yardafield,m,2017,10,U10B,,
Bertram Dorperidge,bertram dorperidge,m,2013,14,U14B,Select,
Mabon Ashdofield,mabon ashdofield,m,2016,10,U10B,,
Nessa Istveridge,nessa istveridge,m,2019,7,U07B,Junior,
Jarl Linkaworth,jarl linkaworth,f,2017,9,U09G,,
Hesper Jesrethorn,hesper jesrethorn,m,2015,11,U12B,,
Rennick Jesheworth,rennick jesheworth,f,2021,5,U05G,Micro,
Bryn Fenfewick,bryn fenfewick,m,2021,6,U06B,Micro,
Mira Clydoby,mira clydoby,m,2018,8,U08B,Junior,
Nessa Torteck,nessa torteck,m,2017,9,U09B,,
Greer Breheford,greer breheford,m,2018,9,U09B,,
Elsbet Ashdafield,elsbet ashdafield,f,2018,8,U08G,Junior,
Clove Hesmewell,clove hesmewell,m,2019,7,U07B,Junior,
Corin Jorreford,corin jorreford,f,2019,8,U08G,Junior,
Kerrin Halceford,kerrin halceford,m,2021,5,U05B,Micro,
Emrys Verheley,emrys verheley,m,2019,8,U08B,Junior,
Zephyr Selheton,zephyr selheton,m,2020,7,U07B,Junior,
Hollin Selnemere,hollin selnemere,f,2021,6,U06G,Micro,
Tamsin Istfeley,tamsin istfeley,m,2017,9,U09B,,
Bertram Dorkaworth,bertram dorkaworth,m,2019,7,U07B,Junior,
Garrick Breteck,garrick breteck,f,2020,6,U06G,Micro,
Vero Kelmeford,vero kelmeford,m,2017,10,U10B,,
Isolde Alkaden,isolde alkaden,f,2021,6,U06G,Micro,
Rennick Norseden,rennick norseden,m,2018,9,U09B,,
Kova Vernewick,kova vernewick,f,2017,10,U10G,,
Torv Cordaley,torv cordaley,f,2018,8,U08G,Junior,
Rennick Danweridge,rennick danweridge,m,2019,7,U07B,Junior,
Rennick Halzaden,rennick halzaden,m,2019,8,U08B,Junior,
Orin Vernegrove,orin vernegrove,f,2019,7,U07G,Junior,
Kerrin Wyngaridge,kerrin wyngaridge,m,2020,6,U06B,Micro,
Orin Ashremere,orin ashremere,m,2018,9,U09B,,
Bertram Irpeby,bertram irpeby,m,2022,5,U05B,Micro,
Sorrel Linzacombe,sorrel linzacombe,f,2015,12,U12G,,
Bertram Brecemont,bertram brecemont,m,2022,4,,Minis,
Fable Istwewell,fable istwewell,m,2019,8,U08B,Junior,
Jarl Marmecombe,jarl marmecombe,m,2020,6,U06B,Micro,yes
Hesper Marnestone,hesper marnestone,m,2018,8,U08B,Junior,
Faron Halbodge,faron halbodge,m,2015,11,U12B,,
Tamsin Irbawick,tamsin irbawick,f,2018,9,U09G,,
Ulla Nordofield,ulla nordofield,f,2020,7,U07G,Junior,
Wrenna Clycoden,wrenna clycoden,f,2016,11,U12G,,
Pell Halfegrove,pell halfegrove,f,2016,11,U12G,,
Ulric Istleck,ulric istleck,f,2021,6,U06G,Micro,
Ivo Verwewell,ivo verwewell,m,2021,5,U05B,Micro,
Linnea Gilkaley,linnea gilkaley,f,2017,10,U10G,,
Wren Jorhecombe,wren jorhecombe,m,2016,10,U10B,,
Linnea Ovgawell,linnea ovgawell,f,2017,10,U10G,,
Bryn Marmevale,bryn marmevale,f,2014,13,U14G,Select,
Wrenna Fendoham,wrenna fendoham,f,2018,9,U09G,,
Zeda Marnewick,zeda marnewick,m,2020,7,U07B,Junior,
Wrenna Irbaton,wrenna irbaton,m,2021,6,U06B,Micro,
Dara Yarbathorn,dara yarbathorn,m,2016,11,U12B,,
Linnea Bramkadge,linnea bramkadge,m,2017,9,U09B,,
Mira Dantemont,mira dantemont,f,2018,8,U08G,Junior,
Edda Ovreridge,edda ovreridge,f,2021,5,U05G,Micro,
Emrys Wynsecombe,emrys wynsecombe,f,2018,9,U09G,,
Corin Marbostone,corin marbostone,m,2022,5,U05B,Micro,
Clove Norhemont,clove norhemont,f,2011,15,U16G,Select,
Thora Norweford,thora norweford,f,2019,8,U08G,Junior,
Nils Torpethorn,nils torpethorn,m,2017,9,U09B,,
Wren Gilsestone,wren gilsestone,m,2018,9,U09B,,
Nessa Quilwemere,nessa quilwemere,m,2020,7,U07B,Junior,
Ulric Yarkawell,ulric yarkawell,m,2020,7,U07B,Junior,
Ivo Falsethorn,ivo falsethorn,m,2015,11,U12B,,
Sorrel Irdoley,sorrel irdoley,m,2014,13,U14B,Select,
Ysolt Verdoford,ysolt verdoford,m,2022,5,U05B,Micro,
Kestrel Elbothorn,kestrel elbothorn,f,2019,8,U08G,Junior,
Fenn Alnemere,fenn alnemere,m,2015,11,U12B,,
Vesper Wyncoton,vesper wyncoton,m,2021,6,U06B,Micro,
Alder Dorleworth,alder dorleworth,m,2021,6,U06B,Micro,
Bryn Seldaton,bryn seldaton,f,2015,12,U12G,,
Kestrel Evmewell,kestrel evmewell,m,2018,9,U09B,,
Corin Aldofield,corin aldofield,m,2017,10,U10B,,
Ilse Clytewick,ilse clytewick,m,2017,10,U10B,,
Nerys Kelfedge,nerys kelfedge,f,2017,10,U10G,,
Marek Danlecombe,marek danlecombe,f,2020,7,U07G,Junior,
Osric Brekastone,osric brekastone,m,2015,12,U12B,,
Hale Ulmemont,hale ulmemont,m,2022,5,U05B,Micro,
Imre Istbowell,imre istbowell,m,2015,11,U12B,,
Linnea Bramkaham,linnea bramkaham,m,2016,10,U10B,,
Jarl Hesvestone,jarl hesvestone,m,2019,7,U07B,Junior,
Corin Irpeford,corin irpeford,m,2017,9,U09B,,
Ysolt Linferidge,ysolt linferidge,m,2019,8,U08B,Junior,
Odis Clyzaford,odis clyzaford,m,2014,13,U14B,Select,
Wrenna Evreck,wrenna evreck,m,2017,10,U10B,,
Juno Dorwethorn,juno dorwethorn,m,2014,13,U14B,Select,
Jarl Quiltefield,jarl quiltefield,f,2017,10,U10G,,
Linnea Yarneden,linnea yarneden,m,2016,11,U12B,,
Vesper Evcemont,vesper evcemont,m,2022,5,U05B,Micro,
Yarrow Ashgamont,yarrow ashgamont,m,2019,8,U08B,Junior,
Torv Jorfestone,torv jorfestone,m,2011,15,U16B,Select,
Linnea Falheham,linnea falheham,m,2013,14,U14B,Select,
Linnea Alteby,linnea alteby,m,2018,9,U09B,,
Signy Clyzamere,signy clyzamere,m,2019,7,U07B,Junior,
Val Jute,val jute,m,2020,7,U07B,Junior,
Wrenna Danzaridge,wrenna danzaridge,m,2022,5,U05B,Micro,
Sable Kelmeton,sable kelmeton,m,2016,11,U12B,,
Fable Ulweby,fable ulweby,m,2021,6,U06B,Micro,
Juno Alheham,juno alheham,m,2016,11,U12B,,
Hale Hesweden,hale hesweden,m,2018,8,U08B,Junior,
Mabon Fencegrove,mabon fencegrove,f,2020,6,U06G,Micro,
Faron Jesveton,faron jesveton,f,2019,8,U08G,Junior,
Ulf Aldamere,ulf aldamere,m,2019,7,U07B,Junior,
Elsbet Bramheford,elsbet bramheford,m,2015,12,U12B,,
Ilse Ovgaden,ilse ovgaden,f,2019,8,U08G,Junior,
Hollin Fenkaford,hollin fenkaford,m,2017,10,U10B,,
Wrenna Jornewell,wrenna jornewell,m,2008,18,U19B,Select,
Odis Hesmeby,odis hesmeby,m,2019,8,U08B,Junior,
Tamsin Correford,tamsin correford,m,2020,7,U07B,Junior,
Faron Dorwegrove,faron dorwegrove,m,2020,6,U06B,Micro,
Dara Dorbavale,dara dorbavale,m,2018,9,U09B,,
Gilda Danseley,gilda danseley,m,2018,8,U08B,Junior,
Tamsin Ovdoton,tamsin ovdoton,m,2016,10,U10B,,
Fable Irvemont,fable irvemont,m,2009,17,U19B,Select,
Yarrow Ulbacombe,yarrow ulbacombe,f,2021,6,U06G,Micro,
Signy Ashceley,signy ashceley,f,2013,13,U14G,Select,
Zeda Kelzastone,zeda kelzastone,m,2017,10,U10B,,
Hale Dandoton,hale dandoton,m,2019,7,U07B,Junior,
Hesper Yarbaden,hesper yarbaden,m,2016,11,U12B,,
Zoran Wyndaworth,zoran wyndaworth,f,2019,7,U07G,Junior,yes
Zeda Jorkaford,zeda jorkaford,m,2023,4,,Minis,
Vesper Yarcefield,vesper yarcefield,f,2021,5,U05G,Micro,
Mira Bramceck,mira bramceck,f,2019,7,U07G,Junior,
Prue Istkack,prue istkack,f,2018,9,U09G,,
Nils Ranheworth,nils ranheworth,m,2014,13,U14B,Select,
Xara Torcevale,xara torcevale,f,2022,5,U05G,Micro,
Tamsin Gartecombe,tamsin gartecombe,f,2023,4,,Minis,
Yarrow Evceham,yarrow evceham,m,2018,9,U09B,,
Ilse Bramperidge,ilse bramperidge,f,2011,15,U16G,Select,
Ivo Corboworth,ivo corboworth,m,2020,7,U07B,Junior,
Wren Brepewick,wren brepewick,m,2023,4,,Minis,
Sorrel Ranseley,sorrel ranseley,f,2014,13,U14G,Select,
Wren Dormeley,wren dormeley,f,2017,10,U10G,,
Clove Rancocombe,clove rancocombe,f,2018,8,U08G,Junior,
Fenn Dornemont,fenn dornemont,f,2015,12,U12G,,
Wren Linleden,wren linleden,f,2012,15,U16G,Select,
Zephyr Hesbock,zephyr hesbock,m,2015,12,U12B,,
Wren Evmefield,wren evmefield,f,2018,9,U09G,,
Yorick Gilsemere,yorick gilsemere,m,2013,14,U14B,Select,
Bryn Clycowick,bryn clycowick,m,2021,5,U05B,Micro,
Yarrow Verpewell,yarrow verpewell,m,2021,5,U05B,Micro,
Bryn Fenveworth,bryn fenveworth,f,2017,10,U10G,,
Zoran Marweridge,zoran marweridge,m,2013,13,U14B,Select,
Cato Ranzack,cato ranzack,m,2022,4,,Minis,
Pell Nordaworth,pell nordaworth,m,2017,10,U10B,,
Vesper Torrevale,vesper torrevale,f,2017,10,U10G,,
Osric Corweham,osric corweham,m,2014,13,U14B,Select,
Ysolt Ranmeley,ysolt ranmeley,f,2017,10,U10G,,
Hale Cormewell,hale cormewell,m,2019,8,U08B,Junior,
Hale Tornecombe,hale tornecombe,f,2015,11,U12G,,
Joss Danbathorn,joss danbathorn,f,2016,11,U12G,,
Ysolt Evneham,ysolt evneham,m,2016,10,U10B,,
Bram Fenreworth,bram fenreworth,m,2013,13,U14B,Select,
Jarl Ulbogrove,jarl ulbogrove,m,2013,14,U14B,Select,
Sorrel Quilfecombe,sorrel quilfecombe,f,2020,6,U06G,Micro,
Hale Linhefield,hale linhefield,m,2018,8,U08B,Junior,
Sorrel Hesceford,sorrel hesceford,f,2020,7,U07G,Junior,
Elsbet Pencoley,elsbet pencoley,f,2020,6,U06G,Micro,
Zephyr Falkaton,zephyr falkaton,f,2019,8,U08G,Junior,
Verity Evzamont,verity evzamont,m,2018,9,U09B,,
Imre Algathorn,imre algathorn,m,2018,8,U08B,Junior,
Imre Algadge,imre algadge,m,2013,14,U14B,Select,
Elsbet Linveworth,elsbet linveworth,m,2014,13,U14B,Select,yes
Linnea Kelgadge,linnea kelgadge,f,2018,8,U08G,Junior,yes
Fable Evseck,fable evseck,m,2017,10,U10B,,
Ulla Fendathorn,ulla fendathorn,f,2012,14,U14G,Select,
Ivo Fenbacombe,ivo fenbacombe,m,2013,13,U14B,Select,
Sorrel Ranbaford,sorrel ranbaford,m,2019,8,U08B,Junior,
Elsbet Quilkamere,elsbet quilkamere,m,2020,6,U06B,Micro,
Zeda Clyfedge,zeda clyfedge,m,2018,9,U09B,,
Verity Wynseford,verity wynseford,f,2018,9,U09G,,
Nils Quildowick,nils quildowick,m,2015,11,U12B,,
Jarl Ulgastone,jarl ulgastone,m,2020,7,U07B,Junior,
Osric Hesrevale,osric hesrevale,f,2019,8,U08G,Junior,
Zeda Allethorn,zeda allethorn,f,2020,7,U07G,Junior,
Sorrel Yarheham,sorrel yarheham,f,2018,9,U09G,,
Elsbet Penmeridge,elsbet penmeridge,m,2019,8,U08B,Junior,
Wren Bramtevale,wren bramtevale,m,2021,6,U06B,Micro,
Kova Selboworth,kova selboworth,f,2011,16,U16G,Select,
Orin Elteck,orin elteck,f,2016,11,U12G,,
Bertram Evdomont,bertram evdomont,m,2015,11,U12B,,yes
Mabon Heskamere,mabon heskamere,m,2017,10,U10B,,
Jarl Gilnegrove,jarl gilnegrove,m,2016,11,U12B,,
Torv Clyvestone,torv clyvestone,m,2014,12,U12B,,
Ivo Verpestone,ivo verpestone,m,2016,11,U12B,,
Ilse Marfecombe,ilse marfecombe,m,2018,8,U08B,Junior,
Kova Dormeton,kova dormeton,f,2017,10,U10G,,
Zeda Hallemont,zeda hallemont,f,2020,7,U07G,Junior,
Joss Brecethorn,joss brecethorn,m,2018,9,U09B,,
Pell Clywecombe,pell clywecombe,m,2019,8,U08B,Junior,
Marek Dorveridge,marek dorveridge,m,2018,8,U08B,Junior,
Thora Elhewick,thora elhewick,m,2022,5,U05B,Micro,
Pell Dantecombe,pell dantecombe,m,2020,7,U07B,Junior,
Nils Linceford,nils linceford,f,2018,9,U09G,,
Lisbet Evnestone,lisbet evnestone,f,2009,18,U19G,Select,
Clove Lincodge,clove lincodge,m,2016,11,U12B,,
Zephyr Kelbaford,zephyr kelbaford,m,2014,13,U14B,Select,
Bryn Halkagrove,bryn halkagrove,m,2014,13,U14B,Select,
Bram Gilzamere,bram gilzamere,m,2021,6,U06B,Micro,
Pell Ashweby,pell ashweby,f,2020,6,U06G,Micro,
Delia Rangathorn,delia rangathorn,m,2019,8,U08B,Junior,
Wrenna Fencestone,wrenna fencestone,m,2010,16,U16B,Select,
Ulric Istnefield,ulric istnefield,m,2015,12,U12B,,
Ivo Versemere,ivo versemere,m,2022,5,U05B,Micro,
Osric Zeldaworth,osric zeldaworth,m,2015,11,U12B,,
Elsbet Irmeby,elsbet irmeby,m,2017,9,U09B,,
Nils Danhewell,nils danhewell,m,2019,7,U07B,Junior,
Ulla Yarbaford,ulla yarbaford,m,2016,11,U12B,,
Fenn Bremevale,fenn bremevale,m,2018,8,U08B,Junior,
Ulric Penboton,ulric penboton,m,2017,9,U09B,,
Tamsin Linheley,tamsin linheley,f,2016,10,U10G,,
Alder Lindaden,alder lindaden,m,2022,5,U05B,Micro,
Fenn Bramfevale,fenn bramfevale,m,2013,13,U14B,Select,
Mabon Vervegrove,mabon vervegrove,f,2015,11,U12G,,
Joss Garfeby,joss garfeby,f,2017,10,U10G,,
Nessa Halwestone,nessa halwestone,m,2013,13,U14B,Select,
Sable Bramseton,sable bramseton,m,2019,7,U07B,Junior,
