Team Code,Coach First,Coach Last,Coach Slot,Person Key,Status
07GJunior07,Hugo,Keating,1,hugo keating,Assigned
07GJunior07,Ari,Palmer,2,ari palmer,Assigned
07GJunior08,Bailey,Isley,1,bailey isley,Assigned
08BJunior01,Vera,Kane,1,vera kane,Assigned
08BJunior02,Zora,Ehrlich,1,zora ehrlich,Assigned
08BJunior03,Greta,Wynn,1,greta wynn,Assigned
08BJunior03,Mara,Calder,2,mara calder,Assigned
08BJunior04,Sam,Orme,1,sam orme,Assigned
08BJunior04,Lena,Vail,2,lena vail,Assigned
08BJunior05,Nora,Vale,1,nora vale,Assigned
08BJunior05,Frankie,Orton,2,frankie orton,Assigned
08BJunior06,Skyler,Reed,1,skyler reed,Assigned
08BJunior07,Dana,Jute,1,dana jute,Assigned
08BJunior08,Clio,Ulmer,1,clio ulmer,Assigned
08BJunior08,Wanda,Abbot,2,wanda abbot,Assigned
08BJunior09,Remy,Oder,1,remy oder,Assigned
08BJunior09,Wanda,Tave,2,wanda tave,Assigned
08BJunior10,Viktor,Palmer,1,viktor palmer,Assigned
08GJunior01,Oakley,Ulmer,1,oakley ulmer,Assigned
08GJunior01,Mara,Ulmer,2,mara ulmer,Assigned
08GJunior02,Bailey,Mott,1,bailey mott,Assigned
08GJunior02,Sofia,Bern,2,sofia bern,Assigned
08GJunior03,Oakley,Ingram,1,oakley ingram,Assigned
08GJunior04,Shay,Grieve,1,shay grieve,Assigned
08GJunior05,Finley,Isley,1,finley isley,Assigned
08GJunior06,Jonas,Ward,1,jonas ward,Assigned
08GJunior07,Anders,Ulmer,1,anders ulmer,Assigned
08GJunior08,Yusuf,Keating,1,yusuf keating,Assigned
09B7v701,Riley,Dunmore,1,riley dunmore,Assigned
09B7v701,Zane,Quimby,2,zane quimby,Assigned
09B7v702,Indy,Jute,1,indy jute,Assigned
09B7v702,Remy,Tave,2,remy tave,Assigned
09B7v703,Nico,Vail,1,nico vail,Assigned
09B7v703,Toby,Nix,2,toby nix,Assigned
09B7v704,Noel,Calder,1,noel calder,Assigned
09B7v705,Otis,Nash,1,otis nash,Assigned
09B7v705,Fabio,Dellucci,2,fabio dellucci,Assigned
09B7v706,Micah,Mercer,1,micah mercer,Assigned
09B7v706,Nora,Yates,2,nora yates,Assigned
09B7v707,Milo,Judd,1,milo judd,Assigned
09B7v708,Vesper,Isley,1,vesper isley,Assigned
09B7v708,Fabio,Yates,2,fabio yates,Assigned
09G7v701,Toby,Hart,1,toby hart,Assigned
09G7v701,Remy,Nash,2,remy nash,Assigned
09G7v702,Gina,Lyle,1,gina lyle,Assigned
09G7v702,Anders,Vale,2,anders vale,Assigned
09G7v703,Rowan,Lyle,1,rowan lyle,Assigned
09G7v703,Avery,Marsh,2,avery marsh,Assigned
09G7v704,Perry,Ulmer,1,perry ulmer,Assigned
09G7v705,Reagan,Holloway,1,reagan holloway,Assigned
09G7v705,Rui,Vale,2,rui vale,Assigned
09G7v706,Gray,Judd,1,gray judd,Assigned
09G7v706,Oakley,Sutton,2,oakley sutton,Assigned
10B7v701,Hayden,Holloway,1,hayden holloway,Assigned
10B7v701,Peyton,Oder,2,peyton oder,Assigned
10B7v702,Gray,Farrow,1,gray farrow,Assigned
10B7v702,Sam,Eyre,2,sam eyre,Assigned
10B7v703,Vesper,Fenwick,1,vesper fenwick,Assigned
10B7v703,Phoenix,Pryce,2,phoenix pryce,Assigned
10B7v704,Jonas,Hale,1,jonas hale,Assigned
10B7v705,Drew,Abbot,1,drew abbot,Assigned
10B7v705,Toby,Voss,2,toby voss,Assigned
10B7v706,Vera,Tolliver,1,vera tolliver,Assigned
10B7v706,Sam,Sorrel,2,sam sorrel,Assigned
10B7v707,Blake,Tolliver,1,blake tolliver,Assigned
10B7v707,Blake,Wynn,2,blake wynn,Assigned
10B7v708,Teagan,Hobbes,1,teagan hobbes,Assigned
10B7v708,Jonas,Keating,2,jonas keating,Assigned
10G7v701,Bailey,Mott,1,bailey mott,Assigned
10G7v701,Kian,Dellucci,2,kian dellucci,Assigned
10G7v702,Jonas,Ward,1,jonas ward,Assigned
10G7v702,Tatum,Ingram,2,tatum ingram,Assigned
10G7v703,Uri,Sloane,1,uri sloane,Assigned
10G7v703,Wanda,Prentiss,2,wanda prentiss,Assigned
10G7v704,Jonas,Norwood,1,jonas norwood,Assigned
10G7v705,Finley,Ives,1,finley ives,Assigned
10G7v705,Ines,Hale,2,ines hale,Assigned
10G7v706,Morgan,Eastman,1,morgan eastman,Assigned
12B9v901,Morgan,Eastman,1,morgan eastman,Assigned
12B9v901,Wanda,Eastman,2,wanda eastman,Assigned
12B9v902,Marley,Mercer,1,marley mercer,Assigned
12B9v903,Riley,Pike,1,riley pike,Assigned
12B9v903,Toby,Hart,2,toby hart,Assigned
12B9v904,Teagan,Hobbes,1,teagan hobbes,Assigned
12B9v904,Ula,Rennick,2,ula rennick,Assigned
12B9v905,Jonas,Ives,1,jonas ives,Assigned
12B9v905,Blake,Lund,2,blake lund,Assigned
12B9v906,Lior,Juno,1,lior juno,Assigned
12B9v907,Lior,Wynn,1,lior wynn,Assigned
12B9v907,Milo,Garrick,2,milo garrick,Assigned
12B9v908,Charlie,Mott,1,charlie mott,Assigned
12B9v909,Luca,Underhill,1,luca underhill,Assigned
12B9v909,Sasha,Ingram,2,sasha ingram,Assigned
12B9v910,Quinn,Vance,1,quinn vance,Assigned
12B9v910,Yusuf,Marsh,2,yusuf marsh,Assigned
12G9v901,Dov,Keating,1,dov keating,Assigned
12G9v901,Oakley,Ellison,2,oakley ellison,Assigned
12G9v902,Una,Yates,1,una yates,Assigned
12G9v903,Sofia,Vail,1,sofia vail,Assigned
12G9v903,Mara,Oder,2,mara oder,Assigned
12G9v904,Perry,Sloane,1,perry sloane,Assigned
12G9v904,Nico,Vail,2,nico vail,Assigned
12G9v905,Lena,Vail,1,lena vail,Assigned
12G9v905,Dov,Tolliver,2,dov tolliver,Assigned
12G9v906,Nathaniel,Deverell,1,nathaniel deverell,Assigned
14BSelect01,Gray,Judd,1,gray judd,Assigned
14BSelect01,Perry,Yeats,2,perry yeats,Assigned
14BSelect02,Dov,Judd,1,dov judd,Assigned
14BSelect02,Wren,Reed,2,wren reed,Assigned
14BSelect03,Gray,Whitaker,1,gray whitaker,Assigned
14BSelect04,Faris,Garrick,1,faris garrick,Assigned
14BSelect04,Kendall,Moss,2,kendall moss,Assigned
14BSelect05,Lena,Jute,1,lena jute,Assigned
14GSelect01,Fabio,Ehrlich,1,fabio ehrlich,Assigned
14GSelect01,Dov,Hale,2,dov hale,Assigned
14GSelect02,Tomas,Marsh,1,tomas marsh,Assigned
14GSelect03,Riley,Pike,1,riley pike,Assigned
14GSelect03,Bailey,Usher,2,bailey usher,Assigned
14GSelect03,Oakley,Pryce,3,oakley pryce,Assigned
16BSelect01,Tatum,Tolliver,1,tatum tolliver,Assigned
16BSelect02,Gray,Whitaker,1,gray whitaker,Assigned
16GSelect01,Xeno,Flint,1,xeno flint,Assigned
16GSelect02,Remy,Zorn,1,remy zorn,Assigned
16GSelect02,Ari,Calder,2,ari calder,Assigned
19BSelect01,Vesper,Orton,1,vesper orton,Assigned
19BSelect01,Emerson,Crane,2,emerson crane,Assigned
19GSelect01,Nate,Deverell,1,nate deverell,Assigned
